fips,state_name,county_name,month,haz_days
02090,Alaska,Fairbanks North Star,11,1.2
46099,South Dakota,Minnehaha,6,1.2
30087,Montana,Rosebud,9,1.2
53057,Washington,Skagit,8,1.2
30087,Montana,Rosebud,7,1.2
13121,Georgia,Fulton,8,1.2
39095,Ohio,Lucas,7,1.2
17119,Illinois,Madison,8,1.2
18089,Indiana,Lake,7,1.2
05035,Arkansas,Crittenden,6,1.2
29510,Missouri,St Louis City,6,1.2
25013,Massachusetts,Hampden,5,1.2
49005,Utah,Cache,2,1.2
06031,California,Kings,4,1.2
25005,Massachusetts,Bristol,8,1.2
48245,Texas,Jefferson,8,1.2
47163,Tennessee,Sullivan,10,1.2
48245,Texas,Jefferson,6,1.2
26163,Michigan,Wayne,5,1.2
42101,Pennsylvania,Philadelphia,9,1.2
39113,Ohio,Montgomery,6,1.2
47163,Tennessee,Sullivan,7,1.2
48113,Texas,Dallas,9,1.2
34017,New Jersey,Hudson,6,1.2
16001,Idaho,Ada,9,1.2
36103,New York,Suffolk,5,1.2
08077,Colorado,Mesa,6,1.2
44007,Rhode Island,Providence,7,1.2
37119,North Carolina,Mecklenburg,8,1.2
08093,Colorado,Park,8,1.2
47163,Tennessee,Sullivan,2,1.2
53063,Washington,Spokane,9,1.2
30087,Montana,Rosebud,8,1.2
42101,Pennsylvania,Philadelphia,8,1.2
39017,Ohio,Butler,5,1.2
06039,California,Madera,4,1.2
18091,Indiana,La Porte,5,1.2
34023,New Jersey,Middlesex,9,1.2
42071,Pennsylvania,Lancaster,12,1.2
06099,California,Stanislaus,2,1.2
29189,Missouri,St Louis,6,1.2
26081,Michigan,Kent,7,1.2
42091,Pennsylvania,Montgomery,7,1.2
48167,Texas,Galveston,10,1.2
01073,Alabama,Jefferson,6,1.2
36005,New York,Bronx,6,1.2
24003,Maryland,Anne Arundel,6,1.2
06025,California,Imperial,9,1.2
51013,Virginia,Arlington,7,1.2
01117,Alabama,Shelby,6,1.2
21037,Kentucky,Campbell,6,1.2
30027,Montana,Fergus,9,1.2
36061,New York,New York,6,1.2
53073,Washington,Whatcom,9,1.2
06025,California,Imperial,12,1.2
37119,North Carolina,Mecklenburg,7,1.2
24033,Maryland,Prince Georges,9,1.2
24033,Maryland,Prince Georges,5,1.2
48245,Texas,Jefferson,5,1.2
49047,Utah,Uintah,1,1.2
25005,Massachusetts,Bristol,6,1.2
39035,Ohio,Cuyahoga,5,1.2
08093,Colorado,Park,6,1.2
42045,Pennsylvania,Delaware,7,1.2
06101,California,Sutter,1,1.0
18127,Indiana,Porter,5,1.0
36081,New York,Queens,6,1.0
06037,California,Los Angeles,12,1.0
40109,Oklahoma,Oklahoma,7,1.0
18167,Indiana,Vigo,3,1.0
17119,Illinois,Madison,5,1.0
39035,Ohio,Cuyahoga,2,1.0
55087,Wisconsin,Outagamie,1,1.0
48349,Texas,Navarro,12,1.0
06079,California,San Luis Obispo,9,1.0
