fips,mean,sdi,sdi_score
41025,9.3959367945823917,-0.84310228,22
41029,8.7762711864406757,0.45705733,64
41033,7.9040816326530612,0.55127424,67
41035,10.105660377358491,0.88109154,79
41037,6.768627450980393,1.1038517,83
41039,7.8336673346693386,0.65322977,72
41051,6.2350427350427351,0.23838104,57
41067,7.1694581280788174,-0.74008405,26
42001,9.0610687022900773,-1.3679198,10
42003,10.704184861717614,-0.74080062,26
42005,7.6920903954802249,-0.87717974,21
42007,9.4288431061806648,-0.92544711,20
42011,8.6001620745542944,-0.2902295,40
42013,9.3583061889250789,-0.19566974,43
42015,7.3324712643678165,-0.36169428,38
42021,9.125367647058825,-0.18432765,43
42027,9.82209944751381,0.31755474,60
42029,9.0523121387283236,-1.7145786,4
42041,9.5546875000000018,-1.4187176,9
42043,8.4321483771251931,-0.18180345,43
42045,9.078505747126437,-0.79128468,24
42049,7.5027108433734933,0.4037123,62
42051,7.3283489096573193,0.27906093,58
42059,6.4694610778443113,-0.28062859,40
42069,6.4549815498154981,0.1113999,53
42071,9.6742198100407073,-0.47325504,34
42075,8.738947368421055,-0.430498,35
42077,8.49794721407625,-0.010064146,48
42081,7.2082802547770708,-0.26878181,41
42085,7.9958217270194982,-0.18105528,43
42091,7.5516949152542363,-1.6945747,4
42095,8.19847792998478,-1.1449186,14
42101,8.2002288329519448,1.6359406,97
